List of words in the text with their # of appearances followed by their respective frequency rank if they are top1000:

solus, 2 appearances, rank: 176
habeo, 3 appearances, rank: 39
palaemo, 4 appearances, rank: ---
-ne, 8 appearances, rank: ---
non, 14 appearances, rank: 6
nos, 5 appearances, rank: 51
inter, 2 appearances, rank: 64
tu, 16 appearances, rank: 9
tantus, 2 appearances, rank: 105
compono, 1 appearances, rank: 443
lis, 1 appearances, rank: ---
et, 28 appearances, rank: 1
vitula, 4 appearances, rank: ---
tu, 16 appearances, rank: 9
dignus, 1 appearances, rank: 291
et, 28 appearances, rank: 1
hic, 7 appearances, rank: 7
et, 28 appearances, rank: 1
quisquis, 1 appearances, rank: 129
amor, 3 appearances, rank: 116
aut, 4 appearances, rank: 24
metuo, 1 appearances, rank: 429
dulcis, 2 appearances, rank: 383
aut, 4 appearances, rank: 24
experior, 2 appearances, rank: 713
amarus, 1 appearances, rank: ---
claudo, 1 appearances, rank: 392
iam, 3 appearances, rank: 34
riuus, 1 appearances, rank: ---
puer, 5 appearances, rank: 191
satis, 2 appearances, rank: ---
